fishery,fishery_name
10,Ocean Troll (non-treaty)
11,Ocean Troll - Day Boat
12,Ocean Troll - Trip Boat
13,Ocean Troll - Freezer Boat
14,Ocean Troll - Ice Boat
15,Treaty Troll
16,Terminal Troll
17,Ocean Troll (treaty & non-treaty)
18,Aboriginal Troll
19,Other
20,Ocean Gillnet (non-treaty)
21,Columbia River Gillnet
22,Coastal Gillnet
23,Mixed Net and Seine
24,Freshwater Net
25,Commercial Seine
26,Terminal Seine
27,Freshwater Seine
28,Other Net
29,Other Seine
30,Aboriginal Seine
31,Aboriginal Gillnet
32,Aboriginal Mixed Net
33,Aboriginal Subsistence Net
34,Aboriginal Angler
39,Other Aboriginal
40,Ocean Sport
41,Sport (charter)
42,Sport (private)
43,Sport (jetty)
44,Columbia River Sport
45,Estuary Sport
46,Freshwater Sport
47,Freshwater Sport Snag
48,Terminal Sport
49,Other
50,Hatchery
51,Fish Screens
52,Fish Trap (freshwater)
53,Wild Broodstock Collection
54,Spawning Ground
55,Treaty Ceremonial
56,Treaty Subsistence
57,Mixed Wild Broodstock and Hatchery Returns
59,Other
60,Test Fishery Troll
61,Test Fishery Net
62,Test Fishery Seine
63,Test Fishery Trap
64,Test Fishery Unknown Multiple Gear
65,Dead Fish Survey
69,Other
70,Juvenile Sampling - Troll (marine)
71,Juvenile Sampling - Gillnet (marine)
72,Juvenile Sampling - Seine (marine)
73,Juvenile Sampling - Seine (freshwater)
74,Juvenile Sampling - Trawl (marine)
75,Juvenile Sampling - Trawl (freshwater)
79,Other
80,"Hake Trawl Fishery, At-Sea component (CA/OR/WA)"
800,"Hake Trawl Fishery, Shoreside component (OR/WA)"
802,Limited-Entry Rockfish Trawl (CA/OR/WA)
803,Limited-Entry Non-Hake Groundfish Trawl (CA/OR/WA)
804,Limited-Entry Sablefish Fixed Gear (CA/OR/WA)
805,State-Permitted Nearshore Grndfish Fishery (CA/OR)
81,Groundfish Observer (Gulf of Alaska)
812,Rockfish Fishery (Gulf of Alaska)
82,Groundfish Observer (Bering Sea/Aleutians)
83,Foreign Research Vessels
84,Foreign Mothership Vessels
85,Ocean Trawl By-Catch
86,Land Based Salmon
87,Squid Gillnet By-Catch
88,Juvenile Sampling - trawl
89,Other
90,Multiple Gear
91,PNP Cost Recovery
92,Columbia River Shad
93,Set-Line (Sturgeon)
94,Fish Trap (marine)
95,Confiscated
99,Other
